iteration,step,U_bar,S_bar
0,0,0.5833333333333334,0.6206581492880481
0,1,0.6105610561056105,0.6510193726694549
0,2,0.6482492997198878,0.680340680428296
0,3,0.6625019263368775,0.6913282434851352
0,4,0.6876203657453659,0.7219857217104804
0,5,0.6926564440850155,0.7325420258529799
0,6,0.7095809588734117,0.7501372694191263
0,7,0.7185022173477369,0.7436378888371199
0,8,0.7252877122383916,0.7496350598771998
0,9,0.7375344606917874,0.7707871421523524
0,10,0.7540626191755518,0.7821778657936591
0,11,0.768417437031988,0.7959702869732933
0,12,0.7763761405678699,0.797234642140067
0,13,0.7881223750966757,0.8078876432888499
0,14,0.7965755712883789,0.8159588870154307
0,15,0.8100520646401652,0.8302983651059073
0,16,0.8091590910009294,0.834779947000023
0,17,0.81325668369012,0.8377644085105022
0,18,0.8183758561408506,0.8394333174910584
0,19,0.8139309404056291,0.8423553183280437
0,20,0.8150957094124074,0.8483873929493229
0,21,0.8187486174402536,0.8505782280650515
0,22,0.8258199616556268,0.8590983066179757
0,23,0.8293332720960608,0.8670800509051814
0,24,0.8256642456317932,0.8650280017890699
0,25,0.8210848217725053,0.857438417981321
0,26,0.8222931092206662,0.8579300508494112
0,27,0.8277848789834168,0.8720560873395842
0,28,0.8276269020498639,0.8750256056870863
0,29,0.8380586803023076,0.8749673895785204
0,30,0.8304646544330423,0.8700253955443056
0,31,0.8333654236386874,0.8699198928349902
0,32,0.8317606966651253,0.8742022455544063
0,33,0.8326912736421247,0.8674384582787488
0,34,0.834063559405101,0.8702558530630329
0,35,0.8385140442981337,0.8780468738867422
0,36,0.8410064080067317,0.8752366917788377
0,37,0.8387678331067231,0.8737192436877667
0,38,0.8404651130451022,0.8776195122118597
0,39,0.8353347799453427,0.879975623234705
0,40,0.8398275241590772,0.8839608181335971
0,41,0.8429180783484503,0.8947597510786351
0,42,0.8438695147956435,0.8923340819110862
0,43,0.8457890428957792,0.8960986892669784
0,44,0.8469120056971158,0.8954222405657615
0,45,0.8457079919485868,0.8925453204240295
0,46,0.8492696711906833,0.8978335462172626
0,47,0.8518755878384171,0.8944332645251717
0,48,0.8533281562626024,0.8941903263739087
0,49,0.8536376740415692,0.8904400127060836
0,50,0.8536071762052377,0.8918347607953179
0,51,0.8509361037281423,0.8890034939504723
0,52,0.8495716137362317,0.8877156281341383
0,53,0.8439042582646478,0.884993021686614
0,54,0.8442810293257295,0.8844355995491102
0,55,0.8446369446418078,0.8855297228325335
0,56,0.83949830849908,0.884579674295625
