S_bar,W
0.5559846659431976,2655.0
0.5497748877586961,2695.0
0.5495431791696087,2800.0
0.5351996925087541,2740.0
0.5324917851875093,2665.0
0.5113597855496388,2510.0
0.5143657053043459,2505.0
0.507132187926603,2645.0
0.5155933668305822,2615.0
0.5194319453252905,2565.0
0.5154396481761941,2530.0
0.5184089562611051,2545.0
0.5181317453199047,2710.0
0.5215889399634207,2480.0
0.5174949809725715,2505.0
0.525698263295674,2530.0
0.5285936871394611,2545.0
0.5424067153737598,2680.0
0.5270546581139945,2810.0
0.5286395298086386,2670.0
0.5141870168822682,2540.0
0.5164385597801617,2465.0
0.5128871643840828,2590.0
0.5187022620619975,2525.0
0.5311081119367748,2785.0
0.5393183783774429,2775.0
0.544088842826674,2685.0
0.5437295374780906,2720.0
0.552287751108881,2665.0
0.550178640580736,2775.0
0.5638207258078619,2600.0
0.5681066560577868,2750.0
0.5716130266289657,2935.0
0.5624619212964266,2885.0
0.5581164204223032,2830.0
0.5601502803310241,2645.0
0.5606650255794906,2645.0
0.5475621668444487,2765.0
0.5527470400753152,2795.0
0.5480030965421986,2725.0
0.5463119444521258,2715.0
0.547716599590174,2790.0
0.5447842493862,2560.0
0.5433000007985015,2770.0
0.5452496499039169,2685.0
0.5368349350041105,2660.0
0.5377570473463756,2680.0
0.5452472112826159,2615.0
0.5288166404982028,2645.0
0.5261529015280232,2585.0
0.5258001467315933,2765.0
0.5240968062767112,2770.0
0.5359768237129602,2710.0
0.5407980825733464,2690.0
0.5399100817752506,2655.0
0.5444759162068367,2695.0
0.5315136941657408,2605.0
0.5257059071777073,2740.0
0.5448763569209719,2780.0
0.5646771133622348,2800.0
0.5617557046412303,2895.0
0.5521446733625218,2735.0
0.5399394391414595,2680.0
0.5335384045923443,2685.0
0.5316053353385428,2575.0
0.5341362348452734,2750.0
0.534253176316234,2710.0
0.5494418974986028,2660.0
0.5382092175480411,2625.0
0.5243478628755449,2615.0
0.5270314658730463,2585.0
0.5336315158919731,2630.0
0.5386123494661444,2765.0
0.5404652172776063,2755.0
